element_name,element_type,kw_loss,kvar_loss
Transformer.sub_xfmr,Transformer,141.2113169948762,2471.2155515787085
Line.line_edge-000001,Line,3.253610034832308,8.628480434212717
Line.line_edge-000002,Line,3.253610091318382,8.628481115000323
Line.line_edge-000004,Line,0.005127512007398764,0.0015823145687245414
Line.line_edge-000008,Line,0.0013849982525280212,-0.0005085856062542007
Line.line_edge-000010,Line,5.06994582211571e-05,-0.003176958166123295
Line.line_edge-000012,Line,0.0009357412662542438,-0.003256526914355477
Line.line_edge-000014,Line,4.431488692066625e-06,-0.0046921202223651004
Line.line_edge-000015,Line,4.698622772640637e-05,-0.0010007932357001263
Line.line_edge-000016,Line,0.000268072720133659,-0.005708970077172557
Line.line_edge-000018,Line,0.0045704853103816275,-0.001861041424677751
Line.line_edge-000019,Line,0.0006246853827545139,-0.0012348050331880227
Line.line_edge-000020,Line,0.0035399691894285744,-0.006996771604213274
Line.line_edge-000022,Line,0.005656635042163544,0.0006578070043906336
Line.line_edge-000024,Line,0.002933958409474144,-0.003288852307881825
Line.line_edge-000025,Line,0.002096236768287781,3.124228460364975e-07
Line.line_edge-000026,Line,0.011912098937718838,3.169465268001659e-06
Line.line_edge-000027,Line,4.517310665611118e-06,-0.001870232074566454
Line.line_edge-000028,Line,2.5640254027747617e-05,-0.010597905584650773
Line.line_edge-000029,Line,0.0010546210146024902,-0.0016578430668110684
Line.line_edge-000030,Line,0.0059771136635404,-0.009393038802083878
Line.line_edge-000031,Line,6.567386676124442e-06,-0.0011772120544537757
Line.line_edge-000032,Line,3.7166627027545476e-05,-0.006656593823140384
Line.line_edge-000033,Line,0.001978120150575823,-0.00142920341853526
Line.line_edge-000034,Line,0.01117912749378628,-0.00807368986583321
Line.line_edge-000035,Line,0.0015224240056413692,-0.0008559875912851567
Line.line_edge-000036,Line,0.008651146192612941,-0.0048613291949186534
Line.line_edge-000037,Line,6.2326710576599e-07,-0.0014163570403062523
Line.line_edge-000038,Line,3.5289350080347505e-06,-0.008005723436956146
Line.line_edge-000040,Line,0.002105559403578809,-0.00522394791343686
Line.line_edge-000041,Line,7.3160080558096754e-06,-0.003070051255542605
Line.line_edge-000042,Line,4.157034090836557e-05,-0.017396757338844583
Line.line_edge-000043,Line,5.597436829718472e-06,-0.003128513895964645
Line.line_edge-000044,Line,3.175196885116639e-05,-0.01770062825932646
Line.line_edge-000045,Line,0.004651509614149482,-0.002282780933515465
Line.line_edge-000046,Line,0.026360165594525135,-0.012929716322611912
Line.line_edge-000047,Line,0.0020200966280535795,0.0011357011472173325
Line.line_edge-000048,Line,0.011447742297139485,0.0064386753328908525
Line.line_edge-000049,Line,0.0004463639433524804,-0.0015706158943157788
Line.line_edge-000050,Line,0.0025263932699854195,-0.008886432118611993
Line.line_edge-000051,Line,0.0001720091201891573,-0.0064190137576059635
Line.line_edge-000052,Line,0.0009750936232367768,-0.036373022725510955
Line.line_edge-000053,Line,0.004594277213988951,-0.002287320106303348
Line.line_edge-000054,Line,0.026039491410157545,-0.01295349201324243
Line.line_edge-000055,Line,0.001039252868493608,-0.0035207393676887034
Line.line_edge-000056,Line,0.005891156286795129,-0.01994724508147413
Line.line_edge-000057,Line,0.001005696351181541,-0.0017758863553044648
Line.line_edge-000058,Line,0.005699919391096046,-0.010059674162479496
Line.line_edge-000059,Line,0.010816729649238403,-0.00034313536835494675
Line.line_edge-000060,Line,0.06137222408123251,-0.0019325950681508578
Line.line_edge-000061,Line,4.314929176871374e-06,-0.002365987538991021
Line.line_edge-000062,Line,2.4488394074523966e-05,-0.01340704972140884
Line.line_edge-000063,Line,1.6420095954836623e-06,-0.008194459589591155
Line.line_edge-000064,Line,9.318227835144217e-06,-0.04636648049508032
Line.line_edge-000065,Line,0.005113545911184921,-0.0010001859531778266
Line.line_edge-000066,Line,0.028981525532037915,-0.005657426954697646
Line.line_edge-000067,Line,0.009657729160418967,0.0003276311455301766
Line.line_edge-000068,Line,0.054806816233875,0.00187603662400943
Line.line_edge-000069,Line,0.0017275268925222918,-0.0019401804291301233
Line.line_edge-000070,Line,0.009791038909574126,-0.010987888526262396
Line.line_edge-000071,Line,6.656328855206085e-05,-0.002765538863806114
Line.line_edge-000072,Line,0.0003771441406088343,-0.015649721656094927
Line.line_edge-000073,Line,0.0001409834842469302,-0.009524565501626616
Line.line_edge-000074,Line,0.0007998160010835523,-0.053969702354644884
Line.line_edge-000075,Line,1.170861870105e-05,-0.0029024676389406067
Line.line_edge-000076,Line,6.658796441388404e-05,-0.01646695537836865
Line.line_edge-000077,Line,8.233167148876453e-06,-0.010229773941005358
Line.line_edge-000078,Line,4.6751545972727816e-05,-0.05789951856093458
Line.line_edge-000079,Line,0.0014540385514573008,-0.003702928579725711
Line.line_edge-000080,Line,0.008241485894151235,-0.020975724952400576
Line.line_edge-000081,Line,0.010752462445554556,0.0014140375256101833
Line.line_edge-000082,Line,0.06088864758316777,0.008027678703736456
Line.line_edge-000083,Line,1.8043918813418713e-05,-0.00325861627047675
Line.line_edge-000084,Line,0.0001024824183855344,-0.01846460449674305
Line.line_edge-000085,Line,0.0072685042294469895,-0.00024082796330549173
Line.line_edge-000086,Line,0.04123701533969142,-0.0013474582221133459
Line.line_edge-000087,Line,0.008215117076347018,-0.0022960390575468602
Line.line_edge-000088,Line,0.04659857480628104,-0.01299951883330441
Line.line_edge-000089,Line,0.0002880652367530274,-0.003415727800968398
Line.line_edge-000090,Line,0.0016336516139708692,-0.01935127006282346
Line.line_edge-000091,Line,5.8780800577569185e-06,-0.006951056668230041
Line.line_edge-000092,Line,3.3462718102929035e-05,-0.03938872715069158
Line.line_edge-000093,Line,75.59515539819236,200.41567142223056
Line.line_edge-000095,Line,2.6626447896560786e-06,-0.0017378499621926002
Line.line_edge-000097,Line,1.5758454399979475e-06,-0.0022501977429110853
Line.line_edge-000099,Line,0.0019547979175840737,-1.0122349391167518e-05
Line.line_edge-000101,Line,1.830939620958816e-05,-0.0014452361526193726
Line.line_edge-000102,Line,2.7392824114514242e-05,-0.0013157131097883484
Line.line_edge-000103,Line,0.00015425068728993878,-0.007408433586511256
Line.line_edge-000105,Line,0.00010243978705438752,-0.0047697230476646075
Line.line_edge-000107,Line,0.0013140720644212959,-0.00523329724102647
Line.line_edge-000109,Line,0.0020195001377955094,-0.005061697285390376
Line.line_edge-000110,Line,0.00011694113179165444,-0.001114489961766571
Line.line_edge-000111,Line,0.0006661976797963447,-0.006348397294003817
Line.line_edge-000112,Line,2.815358140773494e-05,-0.0014756740114984525
Line.line_edge-000113,Line,0.00015959925951620262,-0.00836201863805317
Line.line_edge-000114,Line,4.238336812754984e-06,-0.0028214976506305235
Line.line_edge-000115,Line,2.4031948921174087e-05,-0.015988425714653146
Line.line_edge-000116,Line,0.00010542057335759925,-0.0016608099587169702
Line.line_edge-000117,Line,0.0005975281631367247,-0.009410944652490916
Line.line_edge-000118,Line,7.20648705357918e-05,-0.0018601604668210241
